CMDLINE /home/maria/miniconda3/bin/python3.7 /home/maria/Bioinformatics/Python/iterators_generators/primes_benchmark.py
MEM 0.003906 1552389810.1964
MEM 12.320312 1552389810.2968
MEM 13.929688 1552389810.3972
MEM 13.929688 1552389810.4976
MEM 13.929688 1552389810.5981
MEM 13.929688 1552389810.6985
MEM 14.085938 1552389810.7990
MEM 14.085938 1552389810.8994
MEM 14.085938 1552389810.9998
MEM 14.085938 1552389811.1003
MEM 14.085938 1552389811.2007
MEM 14.339844 1552389811.3013
MEM 14.339844 1552389811.4017
MEM 14.339844 1552389811.5021
MEM 14.496094 1552389811.6025
MEM 14.500000 1552389811.7029
MEM 14.500000 1552389811.8033
MEM 14.500000 1552389811.9037
MEM 14.500000 1552389812.0042
MEM 14.500000 1552389812.1046
MEM 14.500000 1552389812.2050
MEM 14.500000 1552389812.3054
MEM 14.753906 1552389812.4058
MEM 14.753906 1552389812.5062
MEM 14.753906 1552389812.6066
MEM 14.753906 1552389812.7071
MEM 14.875000 1552389812.8074
MEM 14.875000 1552389812.9078
MEM 14.875000 1552389813.0082
MEM 14.875000 1552389813.1086
MEM 14.875000 1552389813.2090
MEM 14.875000 1552389813.3094
MEM 14.875000 1552389813.4098
MEM 14.875000 1552389813.5103
MEM 14.875000 1552389813.6107
MEM 15.128906 1552389813.7112
MEM 15.128906 1552389813.8116
MEM 15.128906 1552389813.9119
MEM 15.128906 1552389814.0123
MEM 15.234375 1552389814.1128
MEM 15.234375 1552389814.2132
MEM 15.234375 1552389814.3136
MEM 15.234375 1552389814.4140
MEM 15.234375 1552389814.5144
MEM 15.234375 1552389814.6147
MEM 15.234375 1552389814.7151
MEM 15.234375 1552389814.8155
MEM 15.234375 1552389814.9160
MEM 15.234375 1552389815.0163
MEM 15.488281 1552389815.1167
MEM 15.488281 1552389815.2171
MEM 15.488281 1552389815.3176
MEM 15.488281 1552389815.4180
MEM 15.589844 1552389815.5184
MEM 15.593750 1552389815.6188
MEM 15.593750 1552389815.7192
MEM 15.593750 1552389815.8198
MEM 15.593750 1552389815.9202
MEM 15.593750 1552389816.0206
MEM 15.593750 1552389816.1211
MEM 15.593750 1552389816.2215
MEM 15.593750 1552389816.3219
MEM 15.593750 1552389816.4226
MEM 15.593750 1552389816.5230
MEM 15.593750 1552389816.6234
MEM 15.593750 1552389816.7238
MEM 15.593750 1552389816.8243
MEM 15.593750 1552389816.9252
MEM 15.593750 1552389817.0260
MEM 15.593750 1552389817.1264
MEM 15.847656 1552389817.2269
MEM 15.847656 1552389817.3274
MEM 15.847656 1552389817.4278
MEM 15.847656 1552389817.5282
MEM 15.847656 1552389817.6287
MEM 15.941406 1552389817.7291
MEM 15.941406 1552389817.8295
MEM 15.941406 1552389817.9300
MEM 15.941406 1552389818.0304
MEM 15.941406 1552389818.1308
MEM 15.941406 1552389818.2312
MEM 15.941406 1552389818.3322
MEM 15.941406 1552389818.4326
MEM 15.941406 1552389818.5330
MEM 15.941406 1552389818.6335
MEM 15.941406 1552389818.7339
MEM 15.941406 1552389818.8344
MEM 15.941406 1552389818.9349
MEM 15.941406 1552389819.0355
MEM 15.941406 1552389819.1359
MEM 15.941406 1552389819.2364
MEM 15.941406 1552389819.3368
MEM 16.195312 1552389819.4372
MEM 16.195312 1552389819.5418
MEM 16.195312 1552389819.6423
MEM 16.195312 1552389819.7429
MEM 16.195312 1552389819.8436
MEM 16.195312 1552389819.9441
MEM 16.195312 1552389820.0447
MEM 16.195312 1552389820.1452
MEM 16.195312 1552389820.2457
MEM 16.195312 1552389820.3462
MEM 16.195312 1552389820.4478
MEM 16.195312 1552389820.5483
MEM 16.195312 1552389820.6487
MEM 16.195312 1552389820.7492
MEM 16.195312 1552389820.8498
MEM 16.195312 1552389820.9502
MEM 16.195312 1552389821.0507
MEM 16.292969 1552389821.1512
MEM 16.292969 1552389821.2524
MEM 16.292969 1552389821.3529
MEM 16.292969 1552389821.4540
MEM 16.292969 1552389821.5547
MEM 16.292969 1552389821.6571
MEM 16.292969 1552389821.7575
MEM 16.292969 1552389821.8580
MEM 16.292969 1552389821.9585
MEM 16.292969 1552389822.0591
MEM 16.292969 1552389822.1595
MEM 16.292969 1552389822.2608
MEM 16.292969 1552389822.3614
MEM 16.292969 1552389822.4619
MEM 16.292969 1552389822.5628
MEM 16.292969 1552389822.6633
MEM 16.292969 1552389822.7637
MEM 16.292969 1552389822.8644
MEM 16.292969 1552389822.9654
MEM 16.292969 1552389823.0661
MEM 16.292969 1552389823.1668
MEM 16.292969 1552389823.2676
MEM 16.292969 1552389823.3688
MEM 16.292969 1552389823.4695
MEM 16.292969 1552389823.5712
MEM 16.292969 1552389823.6722
MEM 16.292969 1552389823.7726
MEM 16.292969 1552389823.8731
MEM 16.292969 1552389823.9736
MEM 16.292969 1552389824.0740
MEM 16.292969 1552389824.1753
MEM 16.292969 1552389824.2758
MEM 16.292969 1552389824.3762
MEM 16.292969 1552389824.4767
MEM 16.292969 1552389824.5771
MEM 16.292969 1552389824.6776
MEM 16.292969 1552389824.7780
MEM 16.292969 1552389824.8785
MEM 16.292969 1552389824.9790
MEM 16.292969 1552389825.0795
MEM 16.292969 1552389825.1801
MEM 16.546875 1552389825.2806
MEM 16.546875 1552389825.3811
MEM 16.546875 1552389825.4816
MEM 16.546875 1552389825.5821
MEM 16.546875 1552389825.6826
MEM 16.546875 1552389825.7830
MEM 16.546875 1552389825.8835
MEM 16.546875 1552389825.9839
MEM 16.546875 1552389826.0845
MEM 16.546875 1552389826.1849
MEM 16.546875 1552389826.2854
MEM 16.546875 1552389826.3859
MEM 16.546875 1552389826.4863
MEM 16.632812 1552389826.5868
MEM 16.632812 1552389826.6872
MEM 16.632812 1552389826.7876
MEM 16.632812 1552389826.8890
MEM 16.632812 1552389826.9895
MEM 16.632812 1552389827.0901
MEM 16.632812 1552389827.1907
MEM 16.632812 1552389827.2927
MEM 16.632812 1552389827.3943
MEM 16.632812 1552389827.4950
MEM 16.632812 1552389827.5955
MEM 16.632812 1552389827.6960
MEM 16.632812 1552389827.7965
MEM 16.632812 1552389827.8970
MEM 16.632812 1552389827.9974
MEM 16.632812 1552389828.0979
MEM 16.632812 1552389828.1982
MEM 16.632812 1552389828.2987
MEM 16.632812 1552389828.3992
MEM 16.632812 1552389828.4996
MEM 16.632812 1552389828.6000
MEM 16.632812 1552389828.7005
MEM 16.632812 1552389828.8009
MEM 16.886719 1552389828.9016
MEM 16.886719 1552389829.0021
MEM 16.886719 1552389829.1028
MEM 16.886719 1552389829.2034
MEM 16.886719 1552389829.3041
MEM 16.886719 1552389829.4046
MEM 16.886719 1552389829.5052
MEM 16.886719 1552389829.6057
MEM 16.886719 1552389829.7061
MEM 16.886719 1552389829.8065
MEM 16.886719 1552389829.9070
MEM 16.976562 1552389830.0075
MEM 16.980469 1552389830.1079
MEM 16.980469 1552389830.2083
MEM 16.980469 1552389830.3088
MEM 16.980469 1552389830.4093
MEM 16.980469 1552389830.5097
MEM 16.980469 1552389830.6102
MEM 16.980469 1552389830.7108
MEM 16.980469 1552389830.8115
MEM 16.980469 1552389830.9121
MEM 16.980469 1552389831.0125
MEM 16.980469 1552389831.1130
MEM 16.980469 1552389831.2134
MEM 16.980469 1552389831.3139
MEM 16.980469 1552389831.4145
MEM 16.980469 1552389831.5150
MEM 16.980469 1552389831.6155
MEM 16.980469 1552389831.7159
MEM 16.980469 1552389831.8164
MEM 16.980469 1552389831.9168
MEM 16.980469 1552389832.0172
MEM 16.980469 1552389832.1176
MEM 16.980469 1552389832.2181
MEM 16.980469 1552389832.3186
MEM 16.980469 1552389832.4191
MEM 16.980469 1552389832.5194
MEM 16.980469 1552389832.6199
MEM 16.980469 1552389832.7203
MEM 16.980469 1552389832.8207
MEM 17.234375 1552389832.9211
MEM 17.234375 1552389833.0215
MEM 17.234375 1552389833.1220
MEM 17.234375 1552389833.2224
MEM 17.234375 1552389833.3228
MEM 17.234375 1552389833.4233
MEM 17.234375 1552389833.5238
MEM 17.234375 1552389833.6242
MEM 17.234375 1552389833.7246
MEM 17.234375 1552389833.8269
MEM 17.324219 1552389833.9291
MEM 17.324219 1552389834.0297
MEM 17.324219 1552389834.1303
MEM 17.324219 1552389834.2307
MEM 17.324219 1552389834.3313
MEM 17.324219 1552389834.4317
MEM 17.324219 1552389834.5322
MEM 17.324219 1552389834.6327
MEM 17.324219 1552389834.7331
MEM 17.324219 1552389834.8336
MEM 17.324219 1552389834.9341
MEM 17.324219 1552389835.0345
MEM 17.324219 1552389835.1349
MEM 17.324219 1552389835.2353
MEM 17.324219 1552389835.3357
MEM 17.324219 1552389835.4361
MEM 17.324219 1552389835.5365
MEM 17.324219 1552389835.6370
MEM 17.324219 1552389835.7374
MEM 17.324219 1552389835.8378
MEM 17.324219 1552389835.9382
MEM 17.324219 1552389836.0386
MEM 17.578125 1552389836.1390
MEM 17.578125 1552389836.2406
MEM 17.578125 1552389836.3411
MEM 17.578125 1552389836.4415
MEM 17.578125 1552389836.5419
MEM 17.578125 1552389836.6425
MEM 17.578125 1552389836.7429
MEM 17.578125 1552389836.8435
MEM 17.578125 1552389836.9449
MEM 17.578125 1552389837.0455
MEM 17.578125 1552389837.1460
MEM 17.578125 1552389837.2464
MEM 17.578125 1552389837.3468
MEM 17.578125 1552389837.4478
MEM 17.667969 1552389837.5483
MEM 17.667969 1552389837.6487
MEM 17.667969 1552389837.7491
MEM 17.667969 1552389837.8495
MEM 17.667969 1552389837.9500
MEM 17.667969 1552389838.0505
MEM 17.667969 1552389838.1544
MEM 17.667969 1552389838.2552
MEM 17.667969 1552389838.3557
MEM 17.667969 1552389838.4562
MEM 17.667969 1552389838.5566
MEM 17.667969 1552389838.6572
MEM 17.667969 1552389838.7576
MEM 17.667969 1552389838.8583
MEM 17.667969 1552389838.9587
MEM 17.667969 1552389839.0591
MEM 17.667969 1552389839.1594
MEM 17.667969 1552389839.2598
MEM 17.667969 1552389839.3614
MEM 17.667969 1552389839.4618
MEM 17.667969 1552389839.5622
MEM 17.667969 1552389839.6627
MEM 17.667969 1552389839.7631
MEM 17.667969 1552389839.8634
MEM 17.667969 1552389839.9637
MEM 17.921875 1552389840.0641
MEM 17.921875 1552389840.1645
MEM 17.921875 1552389840.2650
MEM 17.921875 1552389840.3654
MEM 17.921875 1552389840.4658
MEM 17.921875 1552389840.5662
MEM 17.921875 1552389840.6666
MEM 17.921875 1552389840.7670
MEM 18.003906 1552389840.8674
MEM 18.003906 1552389840.9678
MEM 18.003906 1552389841.0682
MEM 18.003906 1552389841.1686
MEM 18.003906 1552389841.2690
MEM 18.003906 1552389841.3694
MEM 18.003906 1552389841.4698
MEM 18.003906 1552389841.5704
MEM 18.003906 1552389841.6708
MEM 18.003906 1552389841.7711
MEM 18.003906 1552389841.8715
MEM 18.003906 1552389841.9719
MEM 18.003906 1552389842.0722
MEM 18.003906 1552389842.1727
MEM 18.003906 1552389842.2731
MEM 18.003906 1552389842.3736
MEM 18.003906 1552389842.4739
MEM 18.003906 1552389842.5743
MEM 18.003906 1552389842.6747
MEM 18.003906 1552389842.7752
MEM 18.003906 1552389842.8756
MEM 18.003906 1552389842.9759
MEM 18.003906 1552389843.0764
MEM 18.257812 1552389843.1768
MEM 18.257812 1552389843.2772
MEM 18.257812 1552389843.3776
MEM 18.257812 1552389843.4781
MEM 18.257812 1552389843.5785
MEM 18.257812 1552389843.6789
MEM 18.257812 1552389843.7792
MEM 18.335938 1552389843.8796
MEM 18.335938 1552389843.9800
MEM 18.335938 1552389844.0804
MEM 18.335938 1552389844.1808
MEM 18.335938 1552389844.2812
MEM 18.335938 1552389844.3816
MEM 18.335938 1552389844.4819
MEM 18.335938 1552389844.5824
MEM 18.335938 1552389844.6827
MEM 18.335938 1552389844.7831
MEM 18.335938 1552389844.8834
MEM 18.335938 1552389844.9838
MEM 18.335938 1552389845.0842
MEM 18.335938 1552389845.1846
MEM 18.335938 1552389845.2850
MEM 18.335938 1552389845.3854
MEM 18.335938 1552389845.4857
MEM 18.335938 1552389845.5861
MEM 18.335938 1552389845.6865
MEM 18.335938 1552389845.7869
MEM 18.335938 1552389845.8873
MEM 18.335938 1552389845.9876
MEM 18.335938 1552389846.0880
MEM 18.589844 1552389846.1884
MEM 18.589844 1552389846.2895
MEM 18.589844 1552389846.3899
MEM 18.589844 1552389846.4903
MEM 18.589844 1552389846.5907
MEM 18.589844 1552389846.6912
MEM 18.589844 1552389846.7916
MEM 18.589844 1552389846.8920
MEM 18.589844 1552389846.9924
MEM 18.679688 1552389847.0928
MEM 18.679688 1552389847.1932
MEM 18.679688 1552389847.2936
MEM 18.679688 1552389847.3940
MEM 18.679688 1552389847.4944
MEM 18.679688 1552389847.5948
MEM 18.679688 1552389847.6952
MEM 18.679688 1552389847.7956
MEM 18.679688 1552389847.8960
MEM 18.679688 1552389847.9963
MEM 18.679688 1552389848.0966
MEM 18.679688 1552389848.1971
MEM 18.679688 1552389848.2975
MEM 18.679688 1552389848.3978
MEM 18.679688 1552389848.4982
MEM 18.679688 1552389848.5986
MEM 18.679688 1552389848.6990
MEM 18.679688 1552389848.7994
MEM 18.679688 1552389848.8998
MEM 18.679688 1552389849.0002
MEM 18.679688 1552389849.1005
MEM 18.679688 1552389849.2009
MEM 18.679688 1552389849.3013
MEM 18.679688 1552389849.4017
MEM 18.679688 1552389849.5021
MEM 18.933594 1552389849.6025
MEM 18.933594 1552389849.7029
MEM 18.933594 1552389849.8032
MEM 18.933594 1552389849.9036
MEM 18.933594 1552389850.0040
MEM 18.933594 1552389850.1044
MEM 18.933594 1552389850.2048
MEM 18.933594 1552389850.3052
MEM 18.933594 1552389850.4056
MEM 19.019531 1552389850.5059
MEM 19.019531 1552389850.6063
MEM 19.019531 1552389850.7067
MEM 19.019531 1552389850.8070
MEM 19.019531 1552389850.9074
MEM 19.019531 1552389851.0077
MEM 19.019531 1552389851.1081
MEM 19.019531 1552389851.2085
MEM 19.019531 1552389851.3089
MEM 19.019531 1552389851.4093
MEM 19.019531 1552389851.5097
MEM 19.019531 1552389851.6101
MEM 19.019531 1552389851.7105
MEM 19.019531 1552389851.8109
MEM 19.019531 1552389851.9112
MEM 19.019531 1552389852.0116
MEM 19.019531 1552389852.1120
MEM 19.019531 1552389852.2123
MEM 19.019531 1552389852.3127
MEM 19.019531 1552389852.4131
MEM 19.019531 1552389852.5140
MEM 19.019531 1552389852.6144
MEM 19.019531 1552389852.7148
MEM 19.019531 1552389852.8152
MEM 19.019531 1552389852.9155
MEM 19.019531 1552389853.0159
MEM 19.019531 1552389853.1163
MEM 19.273438 1552389853.2166
MEM 19.273438 1552389853.3171
MEM 19.273438 1552389853.4175
MEM 15.871094 1552389853.5179
MEM 15.871094 1552389853.6182
MEM 15.871094 1552389853.7186
MEM 15.871094 1552389853.8189
MEM 15.871094 1552389853.9192
MEM 15.871094 1552389854.0194
MEM 15.871094 1552389854.1198
MEM 15.871094 1552389854.2200
MEM 15.871094 1552389854.3204
MEM 15.871094 1552389854.4209
MEM 15.871094 1552389854.5212
MEM 15.871094 1552389854.6216
MEM 15.871094 1552389854.7220
MEM 16.226562 1552389854.8224
MEM 16.480469 1552389854.9228
MEM 16.980469 1552389855.0232
MEM 17.230469 1552389855.1236
MEM 17.480469 1552389855.2240
MEM 17.980469 1552389855.3244
MEM 18.234375 1552389855.4248
MEM 18.781250 1552389855.5252
MEM 19.125000 1552389855.6256
MEM 16.230469 1552389855.7260
MEM 16.230469 1552389855.8264
MEM 16.230469 1552389855.9268
MEM 16.230469 1552389856.0272
MEM 16.230469 1552389856.1276
MEM 16.230469 1552389856.2284
FUNC __main__.benchmark_func_with_factorial 13.6719 1552389810.3234 15.8711 1552389854.4946
FUNC __main__.benchmark_func_without_factorial 15.8711 1552389854.4948 16.2305 1552389856.6668
MEM 16.230469 1552389856.3289
MEM 16.230469 1552389856.4293
MEM 16.230469 1552389856.5297
MEM 16.230469 1552389856.6301
